Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
请,35831,請,35531,qǐng,1,421,100226,72.12114117
去,21435,去,21435,qù,1,64,476270,34.165181
热,28909,熱,29105,rè,1,606,67051,79.84536941
人,20154,人,20154,rén,1,7,1867999,11.28272127
认,35748,認,35469,rèn,1,213,191866,57.08904298
识,35782,識,35672,shi/shí/zhì,1,340,125220,67.4179577
三,19977,三,19977,sān,1,125,304272,46.06918808
商,21830,商,21830,shāng,1,402,105406,71.11356571
上,19978,上,19978,shàng,1,16,1069575,17.60965604
午,21320,午,21320,wǔ/wu,1,1004,30985,89.20532131
谁,35841,誰,35504,shéi,1,648,61528,81.23397934
什,20160,什,20160,shén/shen/shí,1,156,267869,50.61038681
么,20040,麼,40636,me,1,63,477969,33.91905175
十,21313,十,21313,shí,1,112,338954,43.95077987
时,26102,時,26178,shí,1,25,833532,22.07593798
候,20505,候,20505,hou/hòu,1,341,124865,67.48248607
是,26159,是,26159,shì,1,3,2615490,7.022539449
书,20070,書,26360,shū,1,282,151357,63.2766964
水,27700,水,27700,shuǐ,1,202,198933,55.98444059
睡,30561,睡,30561,shuì,1,964,33420,88.54175628
觉,35273,覺,35258,jué/jiào,1,327,132041,66.55923548
说,35828,說,35498,shuō,1,24,874977,21.64518103
四,22235,四,22235,sì,1,226,184874,58.35461153
岁,23681,歲,27506,suì,1,772,46835,84.63563583
他,20182,他,20182,tā,1,10,1595761,13.9016917
她,22905,她,22905,tā,1,91,388612,40.02878483
太,22826,太,22826,tài,1,240,180490,59.67560374
听,21548,聽,32893,tīng,1,285,148988,63.50818772
同,21516,同,21516,tóng/tong/tòng,1,69,437611,35.33171595
学,23398,學,23416,xué/huá/jiào,1,66,464261,34.64634776
喂,21890,喂,21890,wéi,1,1988,7184,97.08349209
我,25105,我,25105,wǒ,1,9,1690048,13.07702613
们,20204,們,20497,men/mèn/mén,1,13,1169853,15.92825168
五,20116,五,20116,wǔ,1,279,154316,63.04057831
喜,21916,喜,21916,xǐ/xī/chì,1,668,58449,81.85138719
欢,27426,歡,27489,huan/huān,1,685,55294,82.35130394
下,19979,下,19979,xià,1,42,621185,28.1218052
雨,38632,雨,38632,yǔ/yù,1,928,35370,87.90142487
先,20808,先,20808,xiān,1,188,210628,54.5024817
生,29983,生,29983,shēng/sheng,1,34,682031,25.48491009
现,29616,現,29694,xiàn,1,70,433960,35.55598003
在,22312,在,22312,zài,1,6,2009181,10.31736716
想,24819,想,24819,xiǎng,1,99,368819,41.57989887
小,23567,小,23567,xiǎo,1,83,410987,38.38365568
姐,22992,姐,22992,jie/jiě/jù/xù/zū,1,830,41762,85.95178887
些,20123,些,20123,xiē,1,86,400528,39.00721999
写,20889,寫,23531,xiě,1,448,93710,73.4734149
谢,35874,謝,35613,xiè/xie,1,897,37550,87.3181052
星,26143,星,26143,xīng,1,537,76320,77.31532737
期,26399,期,26399,qī,1,253,169806,60.85253847
习,20064,習,32722,xí,1,676,57329,82.0906432
校,26657,校,26657,xiào/jiào/jiǎo/qiāo,1,633,63200,80.75188754
一,19968,一,19968,yī,1,2,3050722,5.670893097
衣,34915,衣,34915,yī/yì,1,725,51134,83.45031368
服,26381,服,26381,fú/fu/fù/bì/bó,1,365,116961,68.98021208
医,21307,醫,37291,yī/yǐ,1,482,84620,75.03039084
院,38498,院,38498,yuàn,1,338,126115,67.28830664
椅,26885,椅,26885,yǐ/yī,1,1663,10917,95.58702962
月,26376,月,26376,yuè,1,169,240566,52.30575729
再,20877,再,20877,zài,1,242,179607,59.86144742
怎,24590,怎,24590,zěn,1,382,112294,69.99270217
样,26679,樣,27171,yàng/xiàng,1,88,398149,39.41953288
这,36825,這,36889,zhè,1,11,1552042,14.70376393
中,20013,中,20013,zhōng/zhòng,1,14,1104541,16.49906205
国,22269,國,22283,guó,1,20,985350,19.72274653
住,20303,住,20303,zhù,1,309,138503,65.2966865
桌,26700,桌,26700,zhuō,1,1193,22336,91.76892751
昨,26152,昨,26152,zuó,1,1475,14406,94.3711789
