Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
议,35758,議,35696,yì,3,368,116810,69.16141607
或,25110,或,25110,huò/yù,3,160,260786,51.15805089
者,32773,者,32773,zhě,3,103,360974,42.33221245
乎,20046,乎,20046,hu/hū,3,458,90127,73.94686244
极,26497,極,26997,jí,3,363,117736,68.85895568
季,23395,季,23395,jì,3,1279,19211,92.68395243
节,33410,節,31680,jié/jiē,3,514,80074,76.39018173
检,26816,檢,27298,jiǎn,3,731,50413,83.6074608
查,26597,查,26597,chá/zhā/chái,3,459,90039,73.99339325
简,31616,簡,31777,jiǎn,3,716,52280,83.21016518
健,20581,健,20581,jiàn,3,979,32399,88.7960373
康,24247,康,24247,kāng/kàng,3,900,37302,87.37604663
讲,35762,講,35611,jiǎng,3,555,73220,78.01153669
角,35282,角,35282,"jiǎo, jué",3,736,50081,83.7371532
脚,33050,腳,33139,jiǎo,3,790,44529,85.06044303
接,25509,接,25509,jiē,3,247,175473,60.31818729
街,34903,街,34903,jiē,3,1101,25866,90.62095961
目,30446,目,30446,mù,3,239,180827,59.58232919
结,32467,結,32080,jié/jiē/jì,3,236,181674,59.30164251
婚,23130,婚,23130,hūn,3,942,34610,88.15425011
束,26463,束,26463,shù,3,998,31370,89.10864476
解,35299,解,35299,jiě/jiè/xiè,3,201,200090,55.88163497
决,20915,決,27770,jué/quē/xuè,3,273,157959,62.55752374
借,20511,借,20511,jiè,3,984,32027,88.87921542
理,29702,理,29702,lǐ/li,3,89,398087,39.62525832
久,20037,久,20037,jiǔ,3,637,62588,80.88192567
旧,26087,舊,33290,jiù,3,915,36291,87.66013737
句,21477,句,21477,jù/gōu/gòu/qú,3,707,52891,82.96567103
定,23450,定,23450,dìng,3,77,422538,37.09678835
渴,28212,渴,28212,kě,3,1972,7395,97.02328662
刻,21051,刻,21051,kè,3,618,65015,80.25454076
空,31354,空,31354,kōng/kòng/kǒng,3,272,158539,62.47589288
调,35843,調,35519,diào/tiáo/zhōu,3,400,106379,71.00435351
口,21475,口,21475,kǒu,3,212,191936,56.98988948
哭,21741,哭,21741,kū,3,1210,21444,91.96185012
裤,35044,褲,35122,kù,3,2090,6282,97.43792297
筷,31607,筷,31607,kuài,3,3110,1652,99.27790853
蓝,34013,藍,34253,lán,3,1190,22437,91.73423107
礼,31036,禮,31150,lǐ,3,926,35612,87.86476051
历,21382,歷,27511,lì,3,480,85487,74.94271514
历,21382,曆,26310,lì,4,480,85487,74.94271514
史,21490,史,21490,shǐ,3,456,90469,73.85363957
脸,33080,臉,33225,liǎn,3,615,65727,80.15357076
练,32451,練,32244,liàn,3,1005,30963,89.22132253
辆,36742,輛,36635,liàng,3,1375,16767,93.57516339
聊,32842,聊,32842,liáo/liú,3,1932,7865,96.86600461
邻,37051,鄰,37168,lín/lìn,3,1659,10996,95.56442802
居,23621,居,23621,jū/jī,3,678,56307,82.14933036
留,30041,留,30041,liú/liù/liǔ,3,554,73287,77.97369768
楼,27004,樓,27155,lóu,3,876,38463,86.906229
绿,32511,綠,32160,lǜ,3,1088,26414,90.44583508
马,39532,馬,39340,mǎ,3,276,155772,62.80012077
满,28385,滿,28415,mǎn/mèn,3,436,96954,72.88337341
帽,24125,帽,24125,mào,3,1750,9697,96.0499337
拿,25343,拿,25343,ná,3,645,61798,81.13852447
南,21335,南,21335,nán,3,307,139078,65.153521
难,38590,難,38627,nán,3,295,144597,64.26889699
级,32423,級,32026,jí,3,415,102018,71.80921897
轻,36731,輕,36629,qīng/qìng,3,460,89852,74.03982743
鸟,40479,鳥,40165,niǎo,3,1263,19698,92.52345757
努,21162,努,21162,nǔ,3,1081,26564,90.35003346
力,21147,力,21147,lì/li,3,106,359136,42.88963395
爬,29228,爬,29228,pá,3,1426,15255,93.99440274
山,23665,山,23665,shān,3,259,168142,61.37618031
盘,30424,盤,30436,pán/pan/xuán,3,1049,28582,89.8960465
胖,32982,胖,32982,pàng,3,1893,8184,96.70490408
皮,30382,皮,30382,pí,3,741,49803,83.86602236
鞋,38795,鞋,38795,xié/wā,3,1638,11288,95.44340676
啤,21860,啤,21860,pí,3,2849,2332,99.01366182
酒,37202,酒,37202,jiǔ,3,797,44069,85.22093841
瓶,29942,瓶,29942,píng,3,1703,10361,95.80641214
其,20854,其,20854,qí/jī/jì,3,85,403028,38.80023308
实,23454,實,23526,shí/shi/zhì,3,100,368494,41.77033109
奇,22855,奇,22855,qí/jī/ǎi/yǐ,3,563,71919,78.31098267
怪,24618,怪,24618,guài,3,775,46600,84.70798679
骑,39569,騎,39438,qí,3,1398,16037,93.76924411
清,28165,清,28165,qīng/qìng,3,335,127716,67.0923779
楚,26970,楚,26970,chu/chǔ,3,859,39846,86.56225836
假,20551,假,20551,jiǎ/jià/jie/xià/xiá/gé,3,636,62691,80.84958112
秋,31179,秋,31179,qiū,3,1151,24030,91.26522582
裙,35033,裙,35033,qún,3,2431,4062,98.34027787
容,23481,容,23481,róng/yǒng,3,442,95407,73.18099565
易,26131,易,26131,yì,3,461,89730,74.08619856
如,22914,如,22914,rú,3,67,449036,34.87840289
伞,20254,傘,20632,sǎn,3,2202,5511,97.77749111
网,32593,網,32178,wǎng,3,605,67118,79.81071845
声,22768,聲,32882,shēng/sheng,3,195,206083,55.25437823
音,38899,音,38899,yīn,3,540,76043,77.43332079
世,19990,世,19990,shì,3,181,214990,53.73122795
界,30028,界,30028,jiè,3,288,148438,63.73859379
瘦,30246,瘦,30246,shòu,3,1841,8632,96.47972374
叔,21460,叔,21460,shū/shu,3,1422,15310,93.96284784
舒,33298,舒,33298,shū/yù,3,1459,14833,94.25077003
树,26641,樹,27193,shù,3,697,54037,82.69014032
数,25968,數,25976,shù/shǔ/shu/shuò,3,231,183312,58.83031483
刷,21047,刷,21047,shuā/shuà,3,1824,8773,96.40343644
牙,29273,牙,29273,yá/yà,3,997,31466,89.09243321
双,21452,雙,38617,shuāng,3,581,69440,78.96439856
平,24179,平,24179,píng/pián/bìng/bēng,3,215,191267,57.28673758
阳,38451,陽,38525,yáng,3,650,60867,81.29690465
特,29305,特,29305,tè,3,173,239091,52.80067104
疼,30140,疼,30140,téng,3,1710,10279,95.84370698
提,25552,提,25552,tí/chí/shí/dǐ/dī,3,196,205159,55.36040135
育,32946,育,32946,yù/zhòu,3,609,66551,79.94875331
甜,29980,甜,29980,tián,3,2020,6894,97.19947314
头,22836,頭,38957,tóu/tou,3,147,274911,49.35401186
突,31361,突,31361,tū,3,484,84474,75.11775905
腿,33151,腿,33151,tuǐ,3,1351,17509,93.36255075
碗,30871,碗,30871,wǎn,3,1939,7773,96.89428671
万,19975,萬,33836,wàn,3,322,134220,66.21437184
忘,24536,忘,24536,wàng,3,1056,27961,89.99813637
位,20301,位,20301,wèi,3,182,214983,53.84232797
文,25991,文,25991,wén,3,148,274222,49.49572572
惯,24815,慣,24931,guàn,3,1226,20880,92.13535607
澡,28577,澡,28577,zǎo/cāo,3,2695,2882,98.80704906
夏,22799,夏,22799,xià,3,1126,24888,90.94883704
相,30456,相,30456,xiāng/xiàng,3,152,269125,50.05501488
信,20449,信,20449,xìn/shēn,3,176,230248,53.1589649
香,39321,香,39321,xiāng,3,776,46525,84.73203022
蕉,34121,蕉,34121,jiāo/qiáo/qiāo,3,3104,1663,99.27276962
向,21521,向,21521,xiàng,3,146,276986,49.21194195
像,20687,像,20687,xiàng,3,294,145291,64.19417141
闻,38395,聞,32862,wén/wèn,3,825,42253,85.84342264
鲜,40092,鮮,39854,xiān/xian/xiǎn/xiàn,3,958,33720,88.43774758
用,29992,用,29992,yòng/yong,3,51,535480,30.79473988
卡,21345,卡,21345,kǎ/qiǎ,3,717,52244,83.2371641
行,34892,行,34892,xíng/háng/xìng/hàng/héng,3,53,531848,31.34591345
李,26446,李,26446,li/lǐ,3,472,86593,74.58749978
熊,29066,熊,29066,xióng,3,1741,9788,96.00460699
需,38656,需,38656,xū/nuò/rú/ruǎn,3,408,103832,71.43696623
选,36873,選,36984,xuǎn/xuàn/suàn/shuā,3,499,82498,75.76307434
择,25321,擇,25799,zé/zhái/yì,3,961,33615,88.48989327
求,27714,求,27714,qiú,3,312,138216,65.51103916
爷,29239,爺,29242,ye/yé,3,1007,30930,89.25329085
般,33324,般,33324,bān/pán/bǎn/bō,3,629,63739,80.62077553
直,30452,直,30452,zhí,3,255,169439,61.02770848
银,38134,銀,37504,yín,3,757,47955,84.26848325
饮,39278,飲,39154,yǐn/yìn,3,1569,12453,95.02230181
料,26009,料,26009,liào/liáo,3,557,72778,78.08698422
应,24212,應,25033,yīng/yìng/ying,3,144,280384,48.92473241
该,35813,該,35442,gāi,3,319,136053,66.00534517
响,21709,響,38911,xiǎng,3,503,81702,75.93249459
戏,25103,戲,25138,xì/hū/xī/huī/suō/yī,3,1033,29402,89.65668248
又,21448,又,21448,yòu,3,126,302933,46.22573935
遇,36935,遇,36935,yù/yóng/ǒu,3,899,37343,87.35676951
元,20803,元,20803,yuán,3,370,116488,69.28184096
愿,24895,願,39000,yuàn/yuǎn,3,598,67915,79.56671318
越,36234,越,36234,yuè,3,440,95657,73.08236669
张,24352,張,24373,zhāng,3,318,136087,65.935035
急,24613,急,24613,jí,3,657,60141,81.51558383
顾,39038,顧,39015,gù,3,815,42735,85.62370162
片,29255,片,29255,piàn/piān/pàn,3,455,90559,73.80688653
只,21482,隻,38587,"zhī, zhǐ",3,97,370059,41.1981099
只,21482,只,21482,zhǐ/zhī,4,97,370059,41.1981099
终,32456,終,32066,zhōng,3,558,72533,78.1244682
种,31181,種,31278,zhǒng,3,57,503344,32.40386977
重,37325,重,37325,zhòng/chóng/tóng,3,140,282843,48.34407883
周,21608,周,21608,zhōu,3,490,83366,75.37842186
末,26411,末,26411,mò,3,1164,23526,91.42518116
主,20027,主,20027,zhǔ/zhù,3,87,399693,39.2137754
注,27880,注,27880,zhù/zhòu,3,492,82869,75.46407331
自,33258,自,33258,zì,3,43,611687,28.43791595
己,24049,己,24049,jǐ/qǐ,3,162,250894,51.41893178
总,24635,總,32317,zǒng/zōng/cōng,3,228,184470,58.54531765
嘴,22068,嘴,22068,zuǐ,3,1010,30765,89.30108263
业,19994,業,26989,yè,3,130,296169,46.8439446
排,25490,排,25490,pái/bài/pǎi,4,682,55938,82.26512382
全,20840,全,20840,quán,4,124,305248,45.91194484
按,25353,按,25353,àn,4,573,69984,78.67683967
之,20043,之,20043,zhī/zhù/zhì,4,44,609003,28.75263965
棒,26834,棒,26834,bàng,4,2288,4917,98.00905581
保,20445,保,20445,bǎo,4,266,164424,61.97661952
证,35777,證,35657,zhèng,4,373,115610,69.46142741
抱,25265,抱,25265,bào,4,1122,25069,90.8972655
歉,27465,歉,27465,qiàn,4,2149,5833,97.62223749
倍,20493,倍,20493,bèi,4,1392,16102,93.71941414
笨,31528,笨,31528,bèn,4,2323,4712,98.09621628
毕,27605,畢,30050,bì,4,1093,26148,90.51371688
遍,36941,遍,36941,biàn,4,1012,30545,89.33266285
标,26631,標,27161,biāo/biào,4,473,86324,74.63211074
格,26684,格,26684,gé/ge/luò/hè/gē,4,325,133986,66.4221913
示,31034,示,31034,shì/qí/zhì/shí,4,425,98963,72.32646663
演,28436,演,28436,yǎn/yàn,4,715,52394,83.18314765
扬,25196,揚,25562,yáng,4,1084,26509,90.39114991
饼,39292,餅,39173,bǐng/bing,4,2359,4439,98.18191631
并,24182,並,20006,bìng/bàn/bàng,4,141,281616,48.48961379
博,21338,博,21338,bó,4,965,33366,88.55899933
士,22763,士,22763,shì/shi,4,372,115704,69.40168188
管,31649,管,31649,guǎn,4,252,170746,60.76478526
仅,20165,僅,20677,jǐn/jìn,4,494,82729,75.54961882
部,37096,部,37096,bù/pǒu,4,84,403066,38.5919542
擦,25830,擦,25830,cā,4,1761,9542,96.10454704
猜,29468,猜,29468,cāi,4,1598,11875,95.2037952
材,26448,材,26448,cái/cai,4,952,34237,88.33229551
观,35266,觀,35264,guān/guàn,4,334,127796,67.02637617
餐,39184,餐,39184,cān/sūn,4,1465,14641,94.296382
厅,21381,廳,24307,tīng,4,1217,20989,92.03803096
厕,21397,廁,24257,cè/cì/zè/si,4,2920,2118,99.09477073
江,27743,江,27743,jiāng,4,577,69602,78.82081498
尝,23581,嘗,22039,cháng,4,1621,11557,95.34306156
功,21151,功,21151,gōng,4,452,92052,73.66557784
诚,35802,誠,35488,chéng,4,1154,23947,91.30239042
乘,20056,乘,20056,chéng/shèng,4,1231,20731,92.18907434
惊,24778,驚,39514,jīng,4,659,59724,81.57742647
抽,25277,抽,25277,chōu,4,1178,22937,91.59350376
烟,28895,煙,29017,yān,4,967,33137,88.59329577
厨,21416,廚,24282,chú,4,2132,5932,97.57062357
传,20256,傳,20659,chuán/zhuàn,4,332,128186,66.89414015
窗,31383,窗,31383,chuāng/cōng,4,1074,26978,90.25327784
户,25143,戶,25142,hù/hu,4,801,43810,85.31187709
粗,31895,粗,31895,cū,4,1414,15557,93.89929206
存,23384,存,23384,cún,4,384,110970,70.10802535
误,35823,誤,35492,wù/wu,4,854,40196,86.45894371
案,26696,案,26696,àn,4,518,79395,76.55472301
扮,25198,扮,25198,ban/bàn/fěn/fēn/huǒ,4,1974,7372,97.03091798
扰,25200,擾,25854,rǎo,4,1483,14252,94.43038852
印,21360,印,21360,yìn/yì,4,640,62179,80.97849472
招,25307,招,25307,zhāo/qiáo/sháo,4,941,34625,88.13636418
呼,21628,呼,21628,hū/hu/xiāo/xū/hè/xià,4,843,40709,86.22863997
折,25240,折,25240,zhé/zhē/shé/tí,4,1131,24737,91.012937
针,38024,針,37341,zhēn,4,1116,25384,90.81912656
概,27010,概,27010,gài/guì/jié,4,791,44501,85.08344049
使,20351,使,20351,shǐ,4,119,316273,45.11389991
约,32422,約,32004,yuē/yāo/yào/dì,4,424,99148,72.27532402
戴,25140,戴,25140,dài,4,1228,20826,92.15688327
刀,20992,刀,20992,dāo,4,1067,27292,90.15517755
导,23548,導,23566,dǎo/dào,4,343,124463,67.61120795
处,22788,處,34389,chù/chǔ/chu/jù,4,206,194237,56.3918218
底,24213,底,24213,dǐ/de,4,543,75728,77.55093592
倒,20498,倒,20498,"dǎo, dào",4,608,66634,79.91436074
登,30331,登,30331,dēng/dé,4,817,42687,85.66783146
牌,29260,牌,29260,pái,4,1261,19752,92.50309572
低,20302,低,20302,dī,4,592,68424,79.35553669
址,22336,址,22336,zhǐ,4,1848,8541,96.51074739
掉,25481,掉,25481,diào,4,849,40541,86.35458825
丢,20002,丟,19999,diū,4,1639,11285,95.44923868
堵,22581,堵,22581,dǔ/zhě/dū,4,2284,4960,97.99885912
肚,32922,肚,32922,dù/dǔ,4,1800,9102,96.29237621
童,31461,童,31461,tóng/zhōng,4,1229,20813,92.16763912
展,23637,展,23637,zhǎn/zhan,4,275,156759,62.71962012
律,24459,律,24459,lǜ,4,526,77818,76.87910698
翻,32763,翻,32763,fān,4,1027,29568,89.56531228
译,35793,譯,35695,yì,4,1198,22170,91.82630564
烦,28902,煩,29033,fán/fan,4,1253,20076,92.42072896
恼,24700,惱,24817,nǎo,4,1704,10356,95.81176397
反,21453,反,21453,fǎn/fàn,4,237,181385,59.39537958
弃,24323,棄,26820,qì,4,1105,25730,90.67420709
暑,26257,暑,26257,shǔ,4,2743,2697,98.87617682
松,26494,松,26494,sōng,4,895,37563,87.27928947
份,20221,份,20221,fèn,4,784,45408,84.92103869
丰,20016,豐,35920,fēng,4,1189,22439,91.72263596
富,23500,富,23500,fù,4,733,50273,83.65946076
否,21542,否,21542,fǒu/pǐ,4,620,64772,80.32158691
则,21017,則,21063,zé,4,284,149042,63.43119294
符,31526,符,31526,fú,4,1205,21862,91.90586523
合,21512,合,21512,hé/gě,4,171,239277,52.55347514
父,29238,父,29238,fù/fǔ,4,589,68576,79.24939626
亲,20146,親,35242,qīn/qin/qìng,4,362,118451,68.79811147
付,20184,付,20184,fù/fu,4,820,42527,85.73382905
款,27454,款,27454,kuǎn/xīn,4,807,43087,85.44661021
负,36127,負,36000,fù/fu,4,691,54616,82.52173864
责,36131,責,36012,zé/zhài,4,535,76377,77.23641842
杂,26434,雜,38620,zá,4,853,40265,86.43817102
改,25913,改,25913,gǎi,4,350,121023,68.05440701
赶,36214,趕,36245,gǎn,4,908,36599,87.52844863
敢,25954,敢,25954,gǎn,4,795,44338,85.17528923
速,36895,速,36895,sù,4,617,65094,80.22094198
胳,33011,胳,33011,gē/gé,4,2490,3753,98.45852968
膊,33162,膊,33162,bo/pò/bó/liè,4,2440,3989,98.35901444
各,21508,各,21508,gè,4,209,193435,56.69184709
资,36164,資,36039,zī/zì,4,257,168890,61.20228211
购,36141,購,36092,gòu,4,1078,26803,90.30877281
够,22815,夠,22816,gòu,4,538,76181,77.35469658
估,20272,估,20272,gū/gù,4,1326,17943,93.13350124
计,35745,計,35336,jì/ji,4,251,171949,60.67654626
鼓,40723,鼓,40723,gǔ,4,1123,25016,90.9101934
励,21169,勵,21237,lì,4,1468,14512,94.3189898
挂,25346,挂,25346,guà,4,1232,20706,92.19977489
键,38190,鍵,37749,jiàn,4,1471,14434,94.34137228
众,20247,衆,34886,zhòng/zhōng,4,510,80390,76.22432419
光,20809,光,20809,guāng,4,290,147639,63.89132757
广,24191,廣,24291,guǎng/guàng/kuàng/guāng,4,468,87900,74.40708337
播,25773,播,25773,bō/bǒ,4,1275,19327,92.64417858
逛,36891,逛,36891,guàng,4,2642,3074,98.72572827
规,35268,規,35215,guī/guì/xù,4,321,134528,66.14500894
籍,31821,籍,31821,jí/jiè,4,1579,12205,95.08600953
际,38469,際,38555,jì,4,423,99412,72.22408581
汁,27713,汁,27713,zhī/xié/shí,4,2540,3564,98.55300524
程,31243,程,31243,chéng,4,314,136962,65.65313026
海,28023,海,28023,hǎi,4,189,209302,54.61064586
洋,27915,洋,27915,yáng/xiáng/yǎng,4,803,43692,85.35706633
羞,32670,羞,32670,xiū,4,2048,6651,97.29747937
寒,23506,寒,23506,hán,4,1297,18684,92.85969142
汗,27735,汗,27735,hàn,4,1490,14011,94.48150322
航,33322,航,33322,háng,4,773,46789,84.65981569
码,30721,碼,30908,mǎ,4,1345,17626,93.30812449
适,36866,適,36969,shì/dí/tì/zhé,4,663,58927,81.69977483
盒,30418,盒,30418,hé/ān,4,2067,6506,97.3620925
悔,24724,悔,24724,huǐ,4,1853,8485,96.53274952
厚,21402,厚,21402,hòu,4,1235,20624,92.23181298
互,20114,互,20114,hù,4,819,42579,85.71185173
联,32852,聯,32879,lián,4,356,120301,68.42822044
怀,24576,懷,25079,huái,4,762,47561,84.39169516
疑,30097,疑,30097,yí/níng,4,698,53982,82.71803741
忆,24518,憶,25014,yì,4,1333,17829,93.19824046
活,27963,活,27963,huó/huo/guō,4,219,189876,57.68014181
泼,27900,潑,28497,po/pō/bō,4,2327,4688,98.10592925
获,33719,獲,29554,huò,4,688,55064,82.43682103
积,31215,積,31309,jī,4,728,50720,83.52918181
基,22522,基,22522,jī,4,280,153462,63.11988519
础,30784,礎,30990,chǔ,4,1014,30477,89.36419191
激,28608,激,28608,jī/ji/jiào/jiāo,4,710,52723,83.04748018
及,21450,及,21450,jí,4,198,202671,55.57107191
即,21363,即,21363,jí,4,293,146459,64.11908718
划,21010,劃,21123,huá/huà/hua,4,522,78648,76.71756511
技,25216,技,25216,jì/qí,4,422,99790,72.17271116
术,26415,術,34899,shù,4,328,131634,66.62726197
既,26082,既,26082,jì/xì,4,724,51208,83.42388839
继,32487,繼,32380,jì,4,655,60428,81.45340269
续,32493,續,32396,xù,4,552,73927,77.89765378
寄,23492,寄,23492,jì,4,1611,11729,95.28297857
油,27833,油,27833,yóu/yòu,4,948,34469,88.26128975
具,20855,具,20855,jù/ju,4,391,108811,70.50464296
价,20215,價,20729,jià/qiǎ/jie,4,409,103634,71.49052274
坚,22362,堅,22533,jiān,4,748,48749,84.04380368
持,25345,持,25345,chí,4,357,119990,68.49022949
减,20943,減,28187,jiǎn,4,857,40011,86.52105767
肥,32933,肥,32933,féi/bǐ,4,1620,11594,95.33708907
建,24314,建,24314,jiàn,4,244,178289,60.04577021
将,23558,將,23559,jiāng/jiàng/qiāng/yáng/jiǎng,4,132,295586,47.149484
奖,22870,獎,29518,jiǎng,4,1233,20690,92.21046717
金,37329,金,37329,jīn/jìn,4,260,167912,61.46295474
降,38477,降,38477,jiàng/xiáng,4,744,49306,83.94280268
落,33853,落,33853,luò/là/lào/luō,4,496,82641,75.63505839
交,20132,交,20132,jiāo,4,320,135727,66.07548687
流,27969,流,27969,liú,4,396,107397,70.78353691
通,36890,通,36890,tōng/tòng,4,190,209046,54.71867773
郊,37066,郊,37066,jiāo,4,2351,4565,98.16330946
区,21306,區,21312,qū/ōu/gōu/qiū/kòu,4,265,164775,61.89164765
骄,39556,驕,39509,jiāo/xiāo/jū/qiáo,4,2248,5196,97.90463576
傲,20658,傲,20658,ào/áo,4,1960,7503,96.97722504
饺,39290,餃,39171,jiǎo/jiào,4,3650,856,99.61568653
授,25480,授,25480,shòu,4,968,33017,88.61035847
受,21463,受,21463,shòu/dào,4,238,180928,59.48888048
释,37322,釋,37323,shì/yì,4,813,42749,85.57953045
尽,23613,盡,30433,jǐn/jìn,4,488,84270,75.2920836
紧,32039,緊,32202,jǐn,4,560,72300,78.19925786
禁,31105,禁,31105,jìn/jīn,4,986,31951,88.91224367
止,27490,止,27490,zhǐ,4,596,68082,79.49651826
剧,21095,劇,21127,jù,4,909,36585,87.54735522
济,27982,濟,28639,jì/jǐ/qí,4,360,119161,68.67549128
验,39564,驗,39511,yàn,4,534,76542,77.19694792
精,31934,精,31934,jīng/qíng/jìng,4,435,97135,72.83326902
彩,24425,彩,24425,cǎi/cai,4,1177,22982,91.58165026
景,26223,景,26223,jǐng/yǐng,4,814,42738,85.60161681
警,35686,警,35686,jǐng,4,687,55189,82.40836477
察,23519,察,23519,chá/cuì,4,564,71894,78.34813642
竞,31454,競,31478,jìng,4,1100,25897,90.60759245
争,20105,爭,29229,zhēng/zhèng,4,344,124420,67.67550636
竟,31455,竟,31455,jìng,4,706,53033,82.93833775
镜,38236,鏡,37857,jìng,4,1251,20100,92.39997435
究,31350,究,31350,jiū/jiu/jiù,4,429,98377,72.53025464
举,20030,舉,33289,jǔ,4,586,68924,79.14288736
拒,25298,拒,25298,jù/jǔ,4,1331,17892,93.17979227
绝,32477,絕,32085,jué,4,562,72074,78.273816
距,36317,距,36317,jù,4,1202,21970,91.87193467
聚,32858,聚,32858,jù,4,1306,18458,92.94593201
虑,34385,慮,24942,lǜ/lǘ,4,901,37208,87.39527517
烤,28900,烤,28900,kǎo,4,2629,3125,98.70492767
鸭,40493,鴨,40232,yā,4,2133,5932,97.57368914
科,31185,科,31185,kē/kè,4,277,155750,62.88061006
棵,26869,棵,26869,kē,4,2108,6159,97.49568146
咳,21683,咳,21683,hāi/ké/hái/gāi,4,2373,4390,98.21383244
嗽,22013,嗽,22013,sou/shuò/shù/sòu,4,2815,2438,98.97185442
怜,24604,憐,24976,lián,4,1599,11848,95.20991807
惜,24796,惜,24796,xī,4,1512,13687,94.63893509
肯,32943,肯,32943,kěn,4,860,39813,86.58283313
恐,24656,恐,24656,kǒng,4,891,37676,87.20159444
苦,33510,苦,33510,kǔ,4,634,63194,80.78454526
矿,30719,礦,31014,kuàng/gǒng,4,1385,16360,93.66076833
泉,27849,泉,27849,quán,4,1641,11237,95.46085756
困,22256,困,22256,kùn,4,868,39172,86.74601837
垃,22403,垃,22403,lā/la,4,2628,3127,98.70331271
圾,22334,圾,22334,jī/jí/jié,4,2634,3102,98.71297246
桶,26742,桶,26742,tǒng,4,2411,4167,98.29778367
拉,25289,拉,25289,lā,4,324,134051,66.35294932
辣,36771,辣,36771,là,4,2420,4124,98.31703133
懒,25042,懶,25078,lǎn,4,2230,5307,97.85585693
浪,28010,浪,28010,làng/láng,4,1186,22639,91.68768113
费,36153,費,36027,fèi/fú/bì,4,486,84359,75.20495104
漫,28459,漫,28459,màn,4,1455,14869,94.22008643
虎,34382,虎,34382,hǔ/hu/hù,4,1083,26514,90.37745046
拜,25308,拜,25308,bài,4,1218,20978,92.04887208
貌,35980,貌,35980,mào/mò,4,1595,11921,95.18536509
厉,21385,厲,21426,lì/lài,4,1339,17726,93.25332407
例,20363,例,20363,lì/liè,4,547,74579,77.70606241
俩,20457,倆,20486,liǎng,4,1574,12340,95.05436058
连,36830,連,36899,lián,4,399,106814,70.94937843
凉,20937,涼,28092,liáng/liàng,4,1581,12156,95.09859273
另,21478,另,21478,lìng,4,489,83702,75.33533955
利,21033,利,21033,lì/li,4,155,268813,50.47195609
乱,20081,亂,20098,luàn,4,765,47474,84.46535617
麻,40635,麻,40635,má/ma/mā,4,1108,25584,90.7138936
毛,27611,毛,27611,máo,4,623,64522,80.42168975
巾,24062,巾,24062,jīn,4,2281,4967,97.99116678
美,32654,美,32654,měi,4,151,269452,49.91593508
丽,20029,麗,40599,lì/lí/lǐ/sī,4,834,41363,86.03786046
梦,26790,夢,22818,mèng,4,865,39486,86.68513074
迷,36855,迷,36855,mí/mì,4,1153,23959,91.29001497
密,23494,密,23494,mì,4,591,68475,79.32017618
免,20813,免,20813,miǎn/wèn/wǎn,4,755,48044,84.2188755
秒,31186,秒,31186,miǎo,4,2028,6829,97.22782862
民,27665,民,27665,mín,4,113,335796,44.12431426
族,26063,族,26063,zú/sǒu/còu/zòu,4,549,74174,77.78287374
母,27597,母,27597,mǔ/mú/wǔ/wú,4,565,71462,78.38506692
耐,32784,耐,32784,nài/néng,4,1409,15629,93.85901227
内,20869,內,20839,nèi,4,175,231331,53.03997615
龄,40836,齡,40801,líng,4,1510,13733,94.62478603
弄,24324,弄,24324,nòng,4,1053,28205,89.95463546
暖,26262,暖,26262,nuǎn/xuān,4,1745,9762,96.02481329
偶,20598,偶,20598,ǒu,4,1361,17246,93.45229824
尔,23572,爾,29246,ěr/mǐ/nǐ,4,220,189785,57.77821988
队,38431,隊,38538,duì/zhuì/suì,4,268,162938,62.14536021
列,21015,列,21015,liè/lì,4,500,82418,75.80566673
判,21028,判,21028,pàn,4,719,52045,83.29096815
断,26029,斷,26039,duàn,4,434,97235,72.7830711
陪,38506,陪,38506,péi,4,1664,10908,95.59266671
批,25209,批,25209,pī/pí,4,569,70580,78.53164217
评,35780,評,35413,píng,4,809,42966,85.49102996
肤,32932,膚,33178,fū/lú,4,1790,9214,96.2450573
脾,33086,脾,33086,pí/pái/bì/pì,4,2223,5386,97.83657619
篇,31687,篇,31687,piān,4,1008,30894,89.26925641
骗,39575,騙,39449,piàn,4,1503,13854,94.57494573
乒,20050,乒,20050,pīng,4,3447,1086,99.51339202
乓,20051,乓,20051,pāng,4,3502,1032,99.54354023
破,30772,破,30772,pò,4,604,67268,79.77603287
葡,33889,葡,33889,pú/bèi,4,2130,5943,97.56448933
萄,33796,萄,33796,táo,4,2210,5463,97.80017591
普,26222,普,26222,pǔ,4,630,63570,80.65362756
签,31614,簽,31805,qiān,4,1254,20057,92.43109412
敲,25970,敲,25970,qiāo,4,1732,9978,95.95855162
桥,26725,橋,27211,qiáo,4,1292,18815,92.81133377
巧,24039,巧,24039,qiǎo,4,1219,20964,92.05970596
克,20811,克,20811,kè,4,262,166044,61.63499716
戚,25114,戚,25114,qi/qī/cù,4,2316,4756,98.07910397
况,20917,況,27841,kuàng,4,419,100680,72.01753764
穷,31351,窮,31406,qióng,4,1343,17672,93.28989592
取,21462,取,21462,qǔ,4,323,134102,66.28367376
缺,32570,缺,32570,quē/kuǐ,4,875,38506,86.88635189
却,21364,卻,21371,què,4,287,148679,63.66188324
确,30830,確,30906,què,4,331,128417,66.82789553
闹,38393,鬧,39719,nào/nao,4,1336,17764,93.22581302
