Simplified,Traditional,Pinyin,HSK Grade
命,命,mìng,4
生意,生意,shēngyi,4
省,省,shěng,4
剩,剩,shèng,4
失败,失敗,shībài,4
失,失,shī/yì,4
败,敗,bài,4
失望,失望,shīwàng,4
师傅,師傅,shīfu,4
傅,傅,fu/fù/fū,4
十分,十分,shífēn,4
实际,實際,shíjì,4
实在,實在,shízài,4
使用,使用,shǐyòng,4
世纪,世紀,shìjì,4
纪,紀,jì/jǐ,4
是否,是否,shìfǒu,4
适合,適合,shìhé,4
适应,適應,shìyìng,4
收,收,shōu,4
收入,收入,shōurù,4
收拾,收拾,shōushi,4
拾,拾,shi/shí/shè/jiè,4
首都,首都,shǒudū,4
首,首,shǒu,4
首先,首先,shǒuxiān,4
受不了,受不了,shòu bu liǎo,4
受到,受到,shòudào,4
售货员,售貨員,shòuhuòyuán,4
售,售,shòu/shú,4
货,貨,huò,4
输,輸,shū,4
熟悉,熟悉,shúxī,4
熟,熟,shú/shóu,4
悉,悉,xī,4
数量,數量,shùliàng,4
数字,數字,shùzì,4
帅,帥,shuài,4
顺便,順便,shùnbiàn,4
顺,順,shùn,4
顺利,順利,shùnlì,4
顺序,順序,shùnxù,4
序,序,xù,4
说明,說明,shuōmíng,4
硕士,碩士,shuòshì,4
硕,碩,shuò,4
死,死,sǐ,4
速度,速度,sùdù,4
度,度,dù/du/duó/zhái,4
塑料袋,塑料袋,sùliàodài,4
塑,塑,sù,4
袋,袋,dài/dai,4
酸,酸,suān,4
随便,隨便,suíbiàn,4
随,隨,suí,4
随着,隨著,suízhe,4
孙子,孫子,sūnzi,4
孙,孫,sūn/xùn,4
所有,所有,suǒyǒu,4
台,台,tái,4
抬,擡,tái,4
态度,態度,tàidu,4
态,態,tài,4
谈,談,tán,4
弹钢琴,彈鋼琴,tán gāngqín,4
弹,彈,dàn/tán/tan,4
钢,鋼,gāng/gàng,4
琴,琴,qín,4
汤,湯,tāng,4
糖,糖,táng,4
躺,躺,tǎng,4
趟,趟,"tàng, tāng",4
讨论,討論,tǎolùn,4
讨,討,tǎo,4
论,論,lùn/lún,4
讨厌,討厭,tǎoyàn,4
厌,厭,yàn/yā/yǎn/yān/yì,4
特点,特點,tèdiǎn,4
提供,提供,tígōng,4
供,供,gōng/gòng,4
提前,提前,tíqián,4
提醒,提醒,tíxǐng,4
醒,醒,xǐng/chéng/jīng,4
填空,填空,tiánkòng,4
填,填,tián/tiǎn/chén/zhèn,4
条件,條件,tiáojiàn,4
停,停,tíng,4
挺,挺,tǐng,4
通过,通過,tōngguò,4
通知,通知,tōngzhī,4
同情,同情,tóngqíng,4
同时,同時,tóngshí,4
推,推,tuī,4
推迟,推遲,tuīchí,4
脱,脫,tuō,4
袜子,襪子,wàzi,4
袜,襪,wà,4
完全,完全,wánquán,4
网球,網球,wǎngqiú,4
网站,網站,wǎngzhàn,4
往往,往往,wǎngwǎng,4
危险,危險,wēixiǎn,4
危,危,wēi,4
险,險,xiǎn/jiǎn/yán,4
卫生间,衛生間,wèishēngjiān,4
卫,衛,wèi,4
味道,味道,wèidao,4
味,味,wèi/mèi,4
温度,溫度,wēndù,4
温,溫,wēn,4
文章,文章,wénzhāng,4
章,章,zhāng/zhàng,4
污染,汙染,wūrǎn,4
污,汙,wū/yú/wā/yū,4
染,染,rǎn,4
无,無,wú,4
无聊,無聊,wúliáo,4
无论,無論,wúlùn,4
误会,誤會,wùhuì,4
西红柿,西紅柿,xīhóngshì,4
柿,柿,shì,4
吸引,吸引,xīyǐn,4
吸,吸,xī,4
引,引,yǐn,4
咸,鹹,xián,4
现金,現金,xiànjīn,4
羡慕,羨慕,xiànmù,4
羡,羨,xiàn,4
慕,慕,mù,4
相反,相反,xiāngfǎn,4
相同,相同,xiāngtóng,4
详细,詳細,xiángxì,4
详,詳,xiáng/yáng,4
细,細,xì,4
橡皮,橡皮,xiàngpí,4
橡,橡,xiàng,4
消息,消息,xiāoxi,4
消,消,xiāo,4
小吃,小吃,xiǎochī,4
小伙子,小夥子,xiǎohuǒzi,4
伙,夥,huǒ,4
小说,小說,xiǎoshuō,4
笑话,笑話,xiàohua,4
效果,效果,xiàoguǒ,4
效,效,xiào,4
心情,心情,xīnqíng,4
辛苦,辛苦,xīnkǔ,4
辛,辛,xīn,4
信封,信封,xìnfēng,4
封,封,fēng/biǎn,4
信息,信息,xìnxī,4
信心,信心,xìnxīn,4
兴奋,興奮,xīngfèn,4
奋,奮,fèn,4
幸福,幸福,xìngfú,4
幸,幸,xìng/niè,4
福,福,fú/fù,4
性别,性別,xìngbié,4
性,性,xìng/xing,4
性格,性格,xìnggé,4
修理,修理,xiūlǐ,4
修,修,xiū,4
许多,許多,xǔduō,4
许,許,xǔ/hǔ,4
学期,學期,xuéqī,4
压力,壓力,yālì,4
压,壓,yā/yà,4
呀,呀,ya,4
牙膏,牙膏,yágāo,4
膏,膏,gāo/gào,4
亚洲,亞洲,yàzhōu,4
亚,亞,yà/yā/è,4
洲,洲,zhōu,4
严格,嚴格,yángé,4
严,嚴,yán/yǎn,4
严重,嚴重,yánzhòng,4
研究,研究,yánjiū,4
研,研,yán/yàn/xíng,4
盐,鹽,yán,4
眼镜,眼鏡,yǎnjìng,4
演出,演出,yǎnchū,4
演员,演員,yǎnyuán,4
阳光,陽光,yángguāng,4
养成,養成,yǎngchéng,4
养,養,yǎng/yàng,4
样子,樣子,yàngzi,4
邀请,邀請,yāoqǐng,4
邀,邀,yāo,4
要是,要是,yàoshi,4
钥匙,鑰匙,yàoshi,4
钥,鑰,yào/yuè,4
匙,匙,shi/chí,4
也许,也許,yěxǔ,4
叶子,葉子,yèzi,4
叶,葉,yè/shè,4
页,頁,yè,4
一切,一切,yíqiè,4
切,切,qiè/qiē/qì,4
以为,以爲,yǐwéi,4
艺术,藝術,yìshù,4
艺,藝,yì,4
意见,意見,yìjiàn,4
因此,因此,yīncǐ,4
此,此,cǐ,4
引起,引起,yǐnqǐ,4
印象,印象,yìnxiàng,4
象,象,xiàng,4
赢,贏,yíng,4
应聘,應聘,yìngpìn,4
聘,聘,pìn/pìng,4
永远,永遠,yǒngyuǎn,4
永,永,yǒng,4
勇敢,勇敢,yǒnggǎn,4
勇,勇,yǒng,4
优点,優點,yōudiǎn,4
优,優,yōu,4
优秀,優秀,yōuxiù,4
秀,秀,xiù,4
幽默,幽默,yōumò,4
幽,幽,yōu,4
默,默,mò,4
尤其,尤其,yóuqí,4
尤,尤,yóu,4
由,由,yóu,4
由于,由于,yóuyú,4
邮局,郵局,yóujú,4
局,局,jú,4
友好,友好,yǒuhǎo,4
友谊,友誼,yǒuyì,4
谊,誼,yì,4
有趣,有趣,yǒuqù,4
于是,于是,yúshì,4
愉快,愉快,yúkuài,4
愉,愉,yú/tōu/yǔ,4
与,與,yǔ,4
羽毛球,羽毛球,yǔmáoqiú,4
羽,羽,yǔ/hù,4
语法,語法,yǔfǎ,4
语言,語言,yǔyán,4
言,言,yán/yàn/yín,4
预习,預習,yùxí,4
预,預,yù,4
原来,原來,yuánlái,4
原,原,yuán,4
原谅,原諒,yuánliàng,4
谅,諒,liàng/liáng,4
原因,原因,yuányīn,4
约会,約會,yuēhuì,4
阅读,閱讀,yuèdú,4
阅,閱,yuè,4
云,雲,yún,4
允许,允許,yǔnxǔ,4
允,允,yǔn/yuán,4
杂志,雜志,zázhì,4
志,志,zhì,4
咱们,咱們,zánmen,4
咱,咱,zán/zan/zá/zǎ,4
暂时,暫時,zànshí,4
暂,暫,zàn,4
脏,髒,zāng,4
责任,責任,zérèn,4
增加,增加,zēngjiā,4
增,增,zēng/zèng/céng,4
占线,占線,zhànxiàn,4
占,占,zhàn/zhān/tiē,4
线,線,xiàn,4
招聘,招聘,zhāopìn,4
真正,真正,zhēnzhèng,4
整理,整理,zhěnglǐ,4
整,整,zhěng,4
正常,正常,zhèngcháng,4
正好,正好,zhènghǎo,4
正确,正確,zhèngquè,4
正式,正式,zhèngshì,4
式,式,shì/shi/tè,4
证明,證明,zhèngmíng,4
支持,支持,zhīchí,4
支,支,zhī/zhì/qí,4
知识,知識,zhīshi,4
直接,直接,zhíjiē,4
值得,值得,zhíde,4
值,值,zhí,4
职业,職業,zhíyè,4
职,職,zhí/tè,4
植物,植物,zhíwù,4
植,植,zhí,4
只好,只好,zhǐhǎo,4
只,只,zhǐ/zhī,4
只要,只要,zhǐyào,4
指,指,zhǐ,4
至少,至少,zhìshǎo,4
质量,質量,zhìliàng,4
质,質,zhì,4
重点,重點,zhòngdiǎn,4
重视,重視,zhòngshì,4
周围,周圍,zhōuwéi,4
围,圍,wéi,4
主意,主意,zhǔyi,4
祝贺,祝賀,zhùhè,4
祝,祝,zhù/zhòu/chù,4
贺,賀,hè,4
著名,著名,zhùmíng,4
专门,專門,zhuānmén,4
专,專,zhuān/tuán/shuàn,4
专业,專業,zhuānyè,4
转,轉,"zhuǎn, zhuàn",4
赚,賺,zhuàn,4
准确,准確,zhǔnquè,4
准时,准時,zhǔnshí,4
仔细,仔細,zǐxì,4
仔,仔,zǐ/zī/zǎi,4
自然,自然,zìrán,4
自信,自信,zìxìn,4
总结,總結,zǒngjié,4
最好,最好,zuìhǎo,4
尊重,尊重,zūnzhòng,4
尊,尊,zūn,4
左右,左右,zuǒyòu,4
作家,作家,zuòjiā,4
作用,作用,zuòyòng,4
作者,作者,zuòzhě,4
座,座,zuò,4
座位,座位,zuòwèi,4
哎,哎,āi,5
唉,唉,ài,5
爱护,愛護,àihù,5
爱惜,愛惜,àixī,5
爱心,愛心,àixīn,5
安慰,安慰,ānwèi,5
慰,慰,wèi,5
安装,安裝,ānzhuāng,5
装,裝,zhuāng,5
岸,岸,àn,5
暗,暗,àn,5
熬夜,熬夜,áoyè,5
熬,熬,áo/āo,5
夜,夜,yè,5
把握,把握,bǎwò,5
握,握,wò/òu,5
摆,擺,bǎi,5
办理,辦理,bànlǐ,5
傍晚,傍晚,bàngwǎn,5
傍,傍,bàng/páng/bēng/péng,5
包裹,包裹,bāoguǒ,5
裹,裹,guǒ,5
包含,包含,bāohán,5
含,含,hán/hàn,5
包括,包括,bāokuò,5
括,括,kuò,5
薄,薄,báo,5
宝贝,寶貝,bǎobèi,5
宝,寶,bǎo,5
贝,貝,bèi,5
宝贵,寶貴,bǎoguì,5
保持,保持,bǎochí,5
保存,保存,bǎocún,5
保留,保留,bǎoliú,5
保险,保險,bǎoxiǎn,5
报到,報到,bàodào,5
报道,報道,bàodào,5
报告,報告,bàogào,5
报社,報社,bàoshè,5
抱怨,抱怨,bàoyuàn,5
怨,怨,yuàn/yuan/yùn,5
背,背,bēi,5
悲观,悲觀,bēiguān,5
悲,悲,bēi,5
背景,背景,bèijǐng,5
被子,被子,bèizi,5
本科,本科,běnkē,5
本领,本領,běnlǐng,5
领,領,lǐng,5
本质,本質,běnzhì,5
比例,比例,bǐlì,5
彼此,彼此,bǐcǐ,5
彼,彼,bǐ,5
必然,必然,bìrán,5
必要,必要,bìyào,5
毕竟,畢竟,bìjìng,5
避免,避免,bìmiǎn,5
避,避,bì,5
编辑,編輯,biānjí,5
编,編,biān/biǎn/biàn,5
辑,輯,ji/jí,5
鞭炮,鞭炮,biānpào,5
鞭,鞭,biān,5
炮,炮,pào/páo/bāo,5
辩论,辯論,biànlùn,5
辩,辯,biàn/pián/biǎn/bàn,5
标点,標點,biāodiǎn,5
标志,標志,biāozhì,5
表达,表達,biǎodá,5
达,達,dá/dā/tà,5
表面,表面,biǎomiàn,5
表明,表明,biǎomíng,5
表情,表情,biǎoqíng,5
表现,表現,biǎoxiàn,5
冰激凌,冰激淩,bīngjīlíng,5
凌,淩,líng,5
病毒,病毒,bìngdú,5
毒,毒,dú/dài,5
玻璃,玻璃,bōli,5
玻,玻,bō,5
璃,璃,lí,5
播放,播放,bōfàng,5
脖子,脖子,bózi,5
脖,脖,bó/bō,5
博物馆,博物館,bówùguǎn,5
补充,補充,bǔchōng,5
补,補,bǔ,5
充,充,chōng,5
不安,不安,bù'ān,5
不得了,不得了,bùdéliǎo,5
不断,不斷,búduàn,5
不见得,不見得,bújiàndé,5
不耐烦,不耐煩,búnàifán,5
不然,不然,bùrán,5
不如,不如,bùrú,5
不要紧,不要緊,bú yàojǐn,5
不足,不足,bùzú,5
布,布,bù,5
步骤,步驟,bùzhòu,5
骤,驟,zhòu,5
部门,部門,bùmén,5
财产,財産,cáichǎn,5
财,財,cái,5
产,産,chǎn,5
采访,采訪,cǎifǎng,5
采,采,cǎi/cài,5
访,訪,fǎng,5
采取,采取,cǎiqǔ,5
彩虹,彩虹,cǎihóng,5
虹,虹,hóng/hòng/gòng,5
踩,踩,cǎi,5
参考,參考,cānkǎo,5
参与,參與,cānyù,5
惭愧,慚愧,cánkuì,5
惭,慚,cán,5
愧,愧,kuì,5
操场,操場,cāochǎng,5
操,操,cāo,5
操心,操心,cāo xīn,5
册,冊,cè,5
测验,測驗,cèyàn,5
测,測,cè,5
曾经,曾經,céngjīng,5
曾,曾,céng/zēng,5
叉子,叉子,chāzi,5
叉,叉,chā/chá/chǎ/chà,5
差距,差距,chājù,5
插,插,chā,5
拆,拆,chāi,5
产品,産品,chǎnpǐn,5
品,品,pǐn,5
产生,産生,chǎnshēng,5
长途,長途,chángtú,5
途,途,tú,5
常识,常識,chángshí,5
抄,抄,chāo,5
超级,超級,chāojí,5
朝,朝,cháo,5
潮湿,潮濕,cháoshī,5
潮,潮,cháo,5
湿,濕,shī/tà/xí,5
吵,吵,chǎo,5
吵架,吵架,chǎo jià,5
架,架,jià,5
炒,炒,chǎo,5
车库,車庫,chēkù,5
库,庫,kù,5
车厢,車廂,chēxiāng,5
厢,廂,xiāng,5
彻底,徹底,chèdǐ,5
彻,徹,chè,5
沉默,沈默,chénmò,5
沉,沈,chén/shěn/tán,5
趁,趁,chèn,5
称,稱,chēng,5
称呼,稱呼,chēnghu,5
称赞,稱贊,chēngzàn,5
赞,贊,zàn,5
成分,成分,chéngfèn,5
成果,成果,chéngguǒ,5
成就,成就,chéngjiù,5
成立,成立,chénglì,5
立,立,lì/wèi,5
成人,成人,chéngrén,5
成熟,成熟,chéngshú,5
成语,成語,chéngyǔ,5
成长,成長,chéngzhǎng,5
诚恳,誠懇,chéngkěn,5
恳,懇,kěn,5
承担,承擔,chéngdān,5
承,承,chéng/zhěng/zhèng,5
承认,承認,chéngrèn,5
承受,承受,chéngshòu,5
程度,程度,chéngdù,5
程序,程序,chéngxù,5
吃亏,吃虧,chīkuī,5
亏,虧,kuī,5
池塘,池塘,chítáng,5
池,池,chí/tuó/chè,5
塘,塘,táng,5
迟早,遲早,chízǎo,5
持续,持續,chíxù,5
尺子,尺子,chǐzi,5
尺,尺,chǐ/chě,5
翅膀,翅膀,chìbǎng,5
翅,翅,chì,5
膀,膀,bǎng/páng/pāng/bàng/pǎng,5
冲,沖,chōng,5
充电器,充電器,chōngdiànqì,5
器,器,qì,5
充分,充分,chōngfèn,5
充满,充滿,chōngmǎn,5
重复,重複,chóngfù,5
宠物,寵物,chǒngwù,5
宠,寵,chǒng/lóng,5
抽屉,抽屜,chōuti,5
屉,屜,ti/tì,5
抽象,抽象,chōuxiàng,5
丑,醜,chǒu,5
臭,臭,chòu,5
出版,出版,chūbǎn,5
版,版,bǎn,5
出口,出口,chūkǒu,5
出色,出色,chūsè,5
出示,出示,chūshì,5
出席,出席,chūxí,5
席,席,xí,5
初级,初級,chūjí,5
初,初,chū,5
除非,除非,chúfēi,5
除夕,除夕,chúxī,5
夕,夕,xī/yì,5
处理,處理,chǔlǐ,5
传播,傳播,chuánbō,5
传染,傳染,chuánrǎn,5
传说,傳說,chuánshuō,5
传统,傳統,chuántǒng,5
统,統,tǒng,5
窗帘,窗簾,chuānglián,5
帘,簾,lián,5
闯,闖,chuǎng,5
创造,創造,chuàngzào,5
创,創,chuàng/chuāng/qiāng,5
造,造,zào/cào/cāo,5
吹,吹,chuī,5
词汇,詞彙,cíhuì,5
汇,彙,huì,5
辞职,辭職,cízhí,5
辞,辭,cí,5
此外,此外,cǐwài,5
次要,次要,cìyào,5
刺激,刺激,cìjī,5
刺,刺,cì/qì/cī,5
匆忙,匆忙,cōngmáng,5
匆,匆,cōng,5
从此,從此,cóngcǐ,5
从而,從而,cóng'ér,5
从前,從前,cóngqián,5
从事,從事,cóngshì,5
粗糙,粗糙,cūcāo,5
糙,糙,cāo,5
促进,促進,cùjìn,5
促,促,cù/chuò,5
促使,促使,cùshǐ,5
醋,醋,cù,5
催,催,cuī,5
存在,存在,cúnzài,5
措施,措施,cuòshī,5
措,措,cuò/zé/cì,5
施,施,shī/yì/shǐ,5
答应,答應,dāying,5
达到,達到,dá dào,5
打工,打工,dǎgōng,5
打交道,打交道,dǎ jiāodao,5
打喷嚏,打噴嚏,dǎpēntì,5
喷,噴,pēn/pèn/fèn,5
嚏,嚏,tì,5
打听,打聽,dǎting,5
大方,大方,dàfang,5
大厦,大廈,dàshà,5
厦,廈,shà/xià,5
大象,大象,dàxiàng,5
大型,大型,dàxíng,5
型,型,xíng,5
呆,呆,dāi,5
代表,代表,dàibiǎo,5
代,代,dài,5
代替,代替,dàitì,5
替,替,tì,5
贷款,貸款,dài kuǎn,5
贷,貸,dài/tè,5
待遇,待遇,dàiyù,5
待,待,dài/dāi,5
担任,擔任,dānrèn,5
单纯,單純,dānchún,5
纯,純,chún/zhǔn/tún/quán/zī/zhūn,5
单调,單調,dāndiào,5
单独,單獨,dāndú,5
独,獨,dú,5
单位,單位,dānwèi,5
单元,單元,dānyuán,5
耽误,耽誤,dānwu,5
耽,耽,dān,5
胆小鬼,膽小鬼,dǎnxiǎoguǐ,5
胆,膽,dǎn,5
鬼,鬼,guǐ,5
淡,淡,dàn,5
当地,當地,dāngdì,5
当心,當心,dāngxīn,5
挡,擋,dǎng,5
导演,導演,dǎoyǎn,5
导致,導致,dǎozhì,5
致,致,zhì/zhuì,5
岛屿,島嶼,dǎoyǔ,5
岛,島,dǎo,5
屿,嶼,yǔ/xù,5
倒霉,倒黴,dǎoméi,5
霉,黴,méi/mèi,5
到达,到達,dàodá,5
道德,道德,dàodé,5
德,德,dé,5
道理,道理,dàolǐ,5
登记,登記,dēngjì,5
等待,等待,děngdài,5
等于,等于,děngyú,5
滴,滴,dī,5
的确,的確,díquè,5
敌人,敵人,dírén,5
敌,敵,dí,5
地道,地道,dìdao,5
地理,地理,dìlǐ,5
地区,地區,dìqū,5
地毯,地毯,dìtǎn,5
毯,毯,tǎn,5
地位,地位,dìwèi,5
地震,地震,dìzhèn,5
震,震,zhèn/shēn,5
递,遞,dì,5
点心,點心,diǎnxin,5
电池,電池,diànchí,5
电台,電台,diàntái,5
钓,釣,diào,5
顶,頂,dǐng,5
动画片,動畫片,dònghuàpiàn,5
冻,凍,dòng,5
洞,洞,dòng,5
豆腐,豆腐,dòufu,5
豆,豆,dòu,5
腐,腐,fǔ/fu,5
逗,逗,dòu,5
独立,獨立,dúlì,5
独特,獨特,dútè,5
度过,度過,dùguò,5
堆,堆,duī,5
对比,對比,duìbǐ,5
对待,對待,duìdài,5
对方,對方,duìfāng,5
对手,對手,duìshǒu,5
对象,對象,duìxiàng,5
兑换,兌換,duìhuàn,5
兑,兌,duì,5
吨,噸,dūn,5
蹲,蹲,dūn,5
顿,頓,dùn,5
多亏,多虧,duōkuī,5
多余,多余,duōyú,5
余,余,yú/tú/xú/yù,5
躲藏,躲藏,duǒcáng,5
躲,躲,duǒ,5
藏,藏,cáng/zàng/zāng,5
恶劣,惡劣,èliè,5
恶,惡,è/wù/wū/ě/hū,5
劣,劣,liè,5
耳环,耳環,ěrhuán,5
发表,發表,fābiǎo,5
发愁,發愁,fā chóu,5
愁,愁,chóu/qiǎo/jiū,5
发达,發達,fādá,5
发抖,發抖,fādǒu,5
抖,抖,dǒu,5
发挥,發揮,fāhuī,5
挥,揮,huī/hún,5
发明,發明,fāmíng,5
发票,發票,fāpiào,5
发言,發言,fāyán,5
罚款,罰款,fákuǎn,5
罚,罰,fá,5
法院,法院,fǎyuàn,5
繁荣,繁榮,fánróng,5
繁,繁,fán/pán/pó,5
荣,榮,róng,5
反而,反而,fǎn'ér,5
反复,反複,fǎnfù,5
反应,反應,fǎnyìng,5
反映,反映,fǎnyìng,5
映,映,yìng/yǎng,5
反正,反正,fǎnzhèng,5
范围,範圍,fànwéi,5
范,範,fàn,5
方案,方案,fāng'àn,5
方式,方式,fāngshì,5
妨碍,妨礙,fáng'ài,5
妨,妨,fáng/fāng,5
碍,礙,ài/yí,5
仿佛,仿佛,fǎngfú,5
仿,仿,fǎng/páng,5
佛,佛,fú/bó/bì/fó,5
肥皂,肥皂,féizào,5
皂,皂,zào,5
废话,廢話,fèihuà,5
废,廢,fèi,5
分别,分別,fēnbié,5
分布,分布,fēnbù,5
分配,分配,fēnpèi,5
配,配,pèi,5
分手,分手,fēnshǒu,5
分析,分析,fēnxī,5
析,析,xī/sī,5
纷纷,紛紛,fēnfēn,5
纷,紛,fēn,5
奋斗,奮鬥,fèndòu,5
斗,鬥,dòu,5
风格,風格,fēnggé,5
风景,風景,fēngjǐng,5
风俗,風俗,fēngsú,5
俗,俗,sú,5
风险,風險,fēngxiǎn,5
疯狂,瘋狂,fēngkuáng,5
疯,瘋,fēng,5
狂,狂,kuáng/jué,5
讽刺,諷刺,fěngcì,5
讽,諷,fěng/fèng,5
否定,否定,fǒudìng,5
否认,否認,fǒurèn,5
扶,扶,fú,5
服装,服裝,fúzhuāng,5
幅,幅,fú,5
辅导,輔導,fǔdǎo,5
辅,輔,fǔ,5
妇女,婦女,fùnǚ,5
妇,婦,fù/fu,5
复制,複制,fùzhì,5
制,制,zhì,5
改革,改革,gǎigé,5
革,革,gé/jí,5
改进,改進,gǎijìn,5
改善,改善,gǎishàn,5
善,善,shàn,5
改正,改正,gǎizhèng,5
盖,蓋,gài,5
概括,概括,gàikuò,5
概念,概念,gàiniàn,5
念,念,niàn,5
干脆,幹脆,gāncuì,5
脆,脆,cuì,5
干燥,幹燥,gānzào,5
燥,燥,zào/sào,5
赶紧,趕緊,gǎnjǐn,5
赶快,趕快,gǎnkuài,5
感激,感激,gǎnjī,5
感受,感受,gǎnshòu,5
感想,感想,gǎnxiǎng,5
干活儿,幹活兒,gàn huór,5
钢铁,鋼鐵,gāngtiě,5
高档,高檔,gāodàng,5
档,檔,dàng/dāng,5
高级,高級,gāojí,5
搞,搞,gǎo,5
告别,告別,gàobié,5
格外,格外,géwài,5
隔壁,隔壁,gébì,5
隔,隔,gé/rǒng/jī,5
壁,壁,bì,5
个别,個別,gèbié,5
个人,個人,gèrén,5
个性,個性,gèxìng,5
各自,各自,gèzì,5
根本,根本,gēnběn,5
工厂,工廠,gōngchǎng,5
厂,廠,chǎng,5
工程师,工程師,gōngchéngshī,5
工具,工具,gōngjù,5
工人,工人,gōngrén,5
工业,工業,gōngyè,5
公布,公布,gōngbù,5
公开,公開,gōngkāi,5
公平,公平,gōngpíng,5
公寓,公寓,gōngyù,5
寓,寓,yù,5
公元,公元,gōngyuán,5
公主,公主,gōngzhǔ,5
功能,功能,gōngnéng,5
恭喜,恭喜,gōngxǐ,5
恭,恭,gōng,5
贡献,貢獻,gòngxiàn,5
贡,貢,gòng,5
献,獻,xiàn/suō/xī,5
沟通,溝通,gōutōng,5
沟,溝,gōu/gǎng/kòu,5
构成,構成,gòuchéng,5
构,構,gòu/jué,5
姑姑,姑姑,gūgu,5
姑,姑,gū/gu,5
姑娘,姑娘,gūniang,5
娘,娘,niang/niáng,5
古代,古代,gǔdài,5
古,古,gǔ/gù/kū,5
古典,古典,gǔdiǎn,5
股票,股票,gǔpiào,5
股,股,gǔ/gu,5
骨头,骨頭,gǔtou,5
骨,骨,gǔ/gú/gū,5
鼓舞,鼓舞,gǔwǔ,5
鼓掌,鼓掌,gǔ zhǎng,5
掌,掌,zhǎng/zhang,5
固定,固定,gùdìng,5
固,固,gù,5
挂号,挂號,guà hào,5
乖,乖,guāi,5
拐弯,拐彎,guǎi wān,5
拐,拐,guǎi,5
弯,彎,wān,5
怪不得,怪不得,guài bu de,5
关闭,關閉,guānbì,5
闭,閉,bì,5
观察,觀察,guānchá,5
观点,觀點,guāndiǎn,5
观念,觀念,guānniàn,5
官,官,guān,5
管子,管子,guǎnzi,5
冠军,冠軍,guànjūn,5
冠,冠,guān/guàn,5
军,軍,jūn,5
光滑,光滑,guānghuá,5
滑,滑,huá/hua/gǔ,5
光临,光臨,guānglín,5
临,臨,lín/lìn,5
光明,光明,guāngmíng,5
光盘,光盤,guāngpán,5
广场,廣場,guǎngchǎng,5
广大,廣大,guǎngdà,5
广泛,廣泛,guǎngfàn,5
泛,泛,fàn/fěng/fá,5
归纳,歸納,guīnà,5
归,歸,guī/kuì/kuí,5
纳,納,nà,5
规矩,規矩,guīju,5
矩,矩,ju/jǔ,5
规律,規律,guīlǜ,5
规模,規模,guīmó,5
模,模,mó/mú,5
规则,規則,guīzé,5
柜台,櫃台,guìtái,5
柜,櫃,guì,5
滚,滾,gǔn,5
锅,鍋,guō,5
国庆节,國慶節,guóqìng jié,5
庆,慶,qìng/qīng/qiāng,5
国王,國王,guówáng,5
王,王,wáng/wàng/yù,5
果然,果然,guǒrán,5
果实,果實,guǒshí,5
过分,過分,guòfèn,5
过敏,過敏,guòmǐn,5
敏,敏,mǐn,5
过期,過期,guòqī,5
哈,哈,hā,5
海关,海關,hǎiguān,5
海鲜,海鮮,hǎixiān,5
喊,喊,hǎn,5
行业,行業,hángyè,5
豪华,豪華,háohuá,5
豪,豪,háo,5
华,華,huá/huā/huà/kuā,5
好客,好客,hàokè,5
好奇,好奇,hàoqí,5
合法,合法,héfǎ,5
合理,合理,hélǐ,5
合同,合同,hétong,5
合影,合影,héyǐng,5
合作,合作,hézuò,5
何必,何必,hébì,5
何况,何況,hékuàng,5
和平,和平,hépíng,5
核心,核心,héxīn,5
核,核,hé/gāi/kài,5
恨,恨,hèn,5
猴子,猴子,hóuzi,5
猴,猴,hóu,5
后背,後背,hòubèi,5
后果,後果,hòuguǒ,5
呼吸,呼吸,hūxī,5
忽然,忽然,hūrán,5
忽,忽,hū,5
忽视,忽視,hūshì,5
胡说,胡說,húshuō,5
胡,胡,hú,5
胡同,胡同,hútòng,5
壶,壺,hú,5
蝴蝶,蝴蝶,húdié,5
蝴,蝴,hú,5
蝶,蝶,dié/tiē,5
糊涂,糊塗,hútu,5
糊,糊,hu/hú/hū/hù,5
涂,塗,tú/dù,5
花生,花生,huāshēng,5
华裔,華裔,huáyì,5
裔,裔,yì,5
化学,化學,huàxué,5
话题,話題,huàtí,5
怀念,懷念,huáiniàn,5
怀孕,懷孕,huáiyùn,5
孕,孕,yùn,5
缓解,緩解,huǎnjiě,5
缓,緩,huǎn,5
幻想,幻想,huànxiǎng,5
幻,幻,huàn,5
慌张,慌張,huāngzhāng,5
慌,慌,huāng/huang/huǎng,5
黄金,黃金,huángjīn,5
灰,灰,huī,5
灰尘,灰塵,huīchén,5
尘,塵,chén,5
灰心,灰心,huī xīn,5
恢复,恢複,huīfù,5
恢,恢,huī,5
汇率,彙率,huìlǜ,5
率,率,lǜ/shuài/lüe,5
婚礼,婚禮,hūnlǐ,5
婚姻,婚姻,hūnyīn,5
姻,姻,yīn,5
活跃,活躍,huóyuè,5
跃,躍,yuè/tì,5
火柴,火柴,huǒchái,5
柴,柴,chái/cī/zhài/zì,5
伙伴,夥伴,huǒbàn,5
伴,伴,bàn/pàn,5
或许,或許,huòxǔ,5
机器,機器,jīqì,5
肌肉,肌肉,jīròu,5
肌,肌,jī/jì,5
基本,基本,jīběn,5
激烈,激烈,jīliè,5
烈,烈,liè,5
及格,及格,jí gé,5
极其,極其,jíqí,5
急忙,急忙,jímáng,5
急诊,急診,jízhěn,5
诊,診,zhěn,5
